nc,colors,ecc,payload,side,clean_decode_ok,decoded_nc
1,4,3,p0,29,1,1
1,4,3,p1,29,1,1
1,4,3,p2,29,1,1
1,4,3,p3,29,1,1
1,4,3,p4,25,1,1
1,4,5,p0,29,1,1
1,4,5,p1,29,1,1
1,4,5,p2,29,1,1
1,4,5,p3,29,1,1
1,4,5,p4,29,1,1
1,4,8,p0,41,1,1
1,4,8,p1,41,1,1
1,4,8,p2,41,1,1
1,4,8,p3,41,1,1
1,4,8,p4,41,1,1
2,8,3,p0,25,1,2
2,8,3,p1,25,1,2
2,8,3,p2,25,1,2
2,8,3,p3,25,1,2
2,8,3,p4,21,1,2
2,8,5,p0,25,1,2
2,8,5,p1,25,1,2
2,8,5,p2,25,1,2
2,8,5,p3,25,1,2
2,8,5,p4,25,1,2
2,8,8,p0,37,1,2
2,8,8,p1,33,1,2
2,8,8,p2,37,1,2
2,8,8,p3,37,1,2
2,8,8,p4,33,1,2
3,16,3,p0,25,1,3
3,16,3,p1,25,1,3
3,16,3,p2,25,1,3
3,16,3,p3,25,1,3
3,16,3,p4,25,1,3
3,16,5,p0,25,1,3
3,16,5,p1,25,1,3
3,16,5,p2,25,1,3
3,16,5,p3,25,1,3
3,16,5,p4,25,1,3
3,16,8,p0,33,1,3
3,16,8,p1,33,1,3
3,16,8,p2,33,1,3
3,16,8,p3,33,1,3
3,16,8,p4,33,1,3
5,64,3,p0,25,1,5
5,64,3,p1,25,1,5
5,64,3,p2,25,1,5
5,64,3,p3,25,1,5
5,64,3,p4,25,1,5
5,64,5,p0,25,1,5
5,64,5,p1,25,1,5
5,64,5,p2,25,1,5
5,64,5,p3,25,1,5
5,64,5,p4,25,1,5
5,64,8,p0,29,1,5
5,64,8,p1,29,1,5
5,64,8,p2,29,1,5
5,64,8,p3,29,1,5
5,64,8,p4,29,1,5
7,256,3,p0,25,1,7
7,256,3,p1,25,1,7
7,256,3,p2,25,1,7
7,256,3,p3,25,1,7
7,256,3,p4,25,1,7
7,256,5,p0,25,1,7
7,256,5,p1,25,1,7
7,256,5,p2,25,1,7
7,256,5,p3,25,1,7
7,256,5,p4,25,1,7
7,256,8,p0,29,1,7
7,256,8,p1,29,1,7
7,256,8,p2,29,1,7
7,256,8,p3,29,1,7
7,256,8,p4,29,1,7
