nc,colors,ecc,family,param,n,decoded,decode_rate
1,4,3,blur,0.5,5,5,1.0
1,4,3,blur,1,5,5,1.0
1,4,3,blur,2,5,1,0.2
1,4,3,blur,3,5,1,0.2
1,4,3,chroma,0.3,5,5,1.0
1,4,3,chroma,0.5,5,5,1.0
1,4,3,chroma,0.7,5,5,1.0
1,4,3,downscale,3px,5,2,0.4
1,4,3,downscale,4px,5,5,1.0
1,4,3,downscale,6px,5,5,1.0
1,4,3,downscale,8px,5,5,1.0
1,4,3,lighting,0.3,5,5,1.0
1,4,3,lighting,0.5,5,5,1.0
1,4,3,lighting,0.7,5,5,1.0
1,4,5,blur,0.5,5,5,1.0
1,4,5,blur,1,5,5,1.0
1,4,5,blur,2,5,1,0.2
1,4,5,blur,3,5,2,0.4
1,4,5,chroma,0.3,5,5,1.0
1,4,5,chroma,0.5,5,5,1.0
1,4,5,chroma,0.7,5,5,1.0
1,4,5,downscale,3px,5,2,0.4
1,4,5,downscale,4px,5,5,1.0
1,4,5,downscale,6px,5,5,1.0
1,4,5,downscale,8px,5,5,1.0
1,4,5,lighting,0.3,5,5,1.0
1,4,5,lighting,0.5,5,5,1.0
1,4,5,lighting,0.7,5,5,1.0
1,4,8,blur,0.5,5,5,1.0
1,4,8,blur,1,5,5,1.0
1,4,8,blur,2,5,1,0.2
1,4,8,blur,3,5,2,0.4
1,4,8,chroma,0.3,5,5,1.0
1,4,8,chroma,0.5,5,5,1.0
1,4,8,chroma,0.7,5,5,1.0
1,4,8,downscale,3px,5,1,0.2
1,4,8,downscale,4px,5,5,1.0
1,4,8,downscale,6px,5,5,1.0
1,4,8,downscale,8px,5,5,1.0
1,4,8,lighting,0.3,5,5,1.0
1,4,8,lighting,0.5,5,5,1.0
1,4,8,lighting,0.7,5,5,1.0
2,8,3,blur,0.5,5,5,1.0
2,8,3,blur,1,5,5,1.0
2,8,3,blur,2,5,5,1.0
2,8,3,blur,3,5,5,1.0
2,8,3,chroma,0.3,5,5,1.0
2,8,3,chroma,0.5,5,5,1.0
2,8,3,chroma,0.7,5,0,0.0
2,8,3,downscale,3px,5,5,1.0
2,8,3,downscale,4px,5,5,1.0
2,8,3,downscale,6px,5,5,1.0
2,8,3,downscale,8px,5,5,1.0
2,8,3,lighting,0.3,5,5,1.0
2,8,3,lighting,0.5,5,5,1.0
2,8,3,lighting,0.7,5,5,1.0
2,8,5,blur,0.5,5,5,1.0
2,8,5,blur,1,5,5,1.0
2,8,5,blur,2,5,5,1.0
2,8,5,blur,3,5,5,1.0
2,8,5,chroma,0.3,5,5,1.0
2,8,5,chroma,0.5,5,5,1.0
2,8,5,chroma,0.7,5,0,0.0
2,8,5,downscale,3px,5,5,1.0
2,8,5,downscale,4px,5,5,1.0
2,8,5,downscale,6px,5,5,1.0
2,8,5,downscale,8px,5,5,1.0
2,8,5,lighting,0.3,5,5,1.0
2,8,5,lighting,0.5,5,5,1.0
2,8,5,lighting,0.7,5,5,1.0
2,8,8,blur,0.5,5,5,1.0
2,8,8,blur,1,5,5,1.0
2,8,8,blur,2,5,5,1.0
2,8,8,blur,3,5,5,1.0
2,8,8,chroma,0.3,5,5,1.0
2,8,8,chroma,0.5,5,5,1.0
2,8,8,chroma,0.7,5,0,0.0
2,8,8,downscale,3px,5,5,1.0
2,8,8,downscale,4px,5,5,1.0
2,8,8,downscale,6px,5,5,1.0
2,8,8,downscale,8px,5,5,1.0
2,8,8,lighting,0.3,5,5,1.0
2,8,8,lighting,0.5,5,5,1.0
2,8,8,lighting,0.7,5,5,1.0
3,16,3,blur,0.5,5,5,1.0
3,16,3,blur,1,5,5,1.0
3,16,3,blur,2,5,5,1.0
3,16,3,blur,3,5,5,1.0
3,16,3,chroma,0.3,5,5,1.0
3,16,3,chroma,0.5,5,5,1.0
3,16,3,chroma,0.7,5,0,0.0
3,16,3,downscale,3px,5,5,1.0
3,16,3,downscale,4px,5,5,1.0
3,16,3,downscale,6px,5,5,1.0
3,16,3,downscale,8px,5,5,1.0
3,16,3,lighting,0.3,5,5,1.0
3,16,3,lighting,0.5,5,5,1.0
3,16,3,lighting,0.7,5,5,1.0
3,16,5,blur,0.5,5,5,1.0
3,16,5,blur,1,5,5,1.0
3,16,5,blur,2,5,5,1.0
3,16,5,blur,3,5,5,1.0
3,16,5,chroma,0.3,5,5,1.0
3,16,5,chroma,0.5,5,5,1.0
3,16,5,chroma,0.7,5,0,0.0
3,16,5,downscale,3px,5,5,1.0
3,16,5,downscale,4px,5,5,1.0
3,16,5,downscale,6px,5,5,1.0
3,16,5,downscale,8px,5,5,1.0
3,16,5,lighting,0.3,5,5,1.0
3,16,5,lighting,0.5,5,5,1.0
3,16,5,lighting,0.7,5,5,1.0
3,16,8,blur,0.5,5,5,1.0
3,16,8,blur,1,5,5,1.0
3,16,8,blur,2,5,5,1.0
3,16,8,blur,3,5,5,1.0
3,16,8,chroma,0.3,5,5,1.0
3,16,8,chroma,0.5,5,3,0.6
3,16,8,chroma,0.7,5,0,0.0
3,16,8,downscale,3px,5,5,1.0
3,16,8,downscale,4px,5,5,1.0
3,16,8,downscale,6px,5,5,1.0
3,16,8,downscale,8px,5,5,1.0
3,16,8,lighting,0.3,5,5,1.0
3,16,8,lighting,0.5,5,3,0.6
3,16,8,lighting,0.7,5,3,0.6
5,64,3,blur,0.5,5,5,1.0
5,64,3,blur,1,5,5,1.0
5,64,3,blur,2,5,5,1.0
5,64,3,blur,3,5,5,1.0
5,64,3,chroma,0.3,5,5,1.0
5,64,3,chroma,0.5,5,5,1.0
5,64,3,chroma,0.7,5,0,0.0
5,64,3,downscale,3px,5,5,1.0
5,64,3,downscale,4px,5,5,1.0
5,64,3,downscale,6px,5,5,1.0
5,64,3,downscale,8px,5,5,1.0
5,64,3,lighting,0.3,5,5,1.0
5,64,3,lighting,0.5,5,5,1.0
5,64,3,lighting,0.7,5,1,0.2
5,64,5,blur,0.5,5,5,1.0
5,64,5,blur,1,5,5,1.0
5,64,5,blur,2,5,5,1.0
5,64,5,blur,3,5,5,1.0
5,64,5,chroma,0.3,5,5,1.0
5,64,5,chroma,0.5,5,5,1.0
5,64,5,chroma,0.7,5,0,0.0
5,64,5,downscale,3px,5,5,1.0
5,64,5,downscale,4px,5,5,1.0
5,64,5,downscale,6px,5,5,1.0
5,64,5,downscale,8px,5,5,1.0
5,64,5,lighting,0.3,5,5,1.0
5,64,5,lighting,0.5,5,5,1.0
5,64,5,lighting,0.7,5,1,0.2
5,64,8,blur,0.5,5,5,1.0
5,64,8,blur,1,5,5,1.0
5,64,8,blur,2,5,5,1.0
5,64,8,blur,3,5,5,1.0
5,64,8,chroma,0.3,5,5,1.0
5,64,8,chroma,0.5,5,5,1.0
5,64,8,chroma,0.7,5,0,0.0
